lemma,v
0-1-2,0
1984,-1
aa,0
abandonar,-0.20000000000000007
abarcar_todo,-0.4
abarcativo,1
abierto,0.8
abismo,-0.06666666666666676
abogado,0.33333333333333326
abrazar,1
abrazo,1
abrir,0.5999999999999999
abrir_camino,-1
absolutamente,0.4666666666666668
absoluto,0.4444666666666668
absorber,0.4666666666666668
abstraccion,0
absurdo,-0.06666666666666676
abuelo,0.8666666666666665
abundancia_informacion,0.6000000000000001
abundante,0.9333333333333332
aburrir,-0.33333333333333337
abusar,-0.19999999999999996
acá,0.4666666666666668
acabar,0.4666666666666668
academia,0.4666666666666667
academico,-0.8
acariciar,0.8666666666666665
accede_ahora,0
acceder,1
accesibilidad,0.48
accesible,1
acceso,0.2643000000000001
acceso_el_informacion,0.6000000000000001
acceso_informacion,0.6000000000000001
acceso_informacion_sensible,-0.6
acceso_social_el_tecnologia,0.6000000000000001
accidente,-0.20000000000000007
accion,-0.0666666666666661
acción,0.7333333333333334
accionable,0.8
accionar,1
aceite,0.33333333333333326
acelerar,0.5999999999999999
aceptacion,0.6000000000000001
aceptar,0.7333333333333334
acercar,0.4666666666666668
acomodar,0.7333333333333334
acompañar,0.8666666666666665
acontecimiento,0.7333333333333334
acordar,0.8666666666666665
acoso,-0.6
acoso_mediatico,-1
acostar,0.5999999999999999
acostumbrar,0.19999999999999996
acotado,0
actitud,0.6666666666666667
actividad,0.5666666666666667
activo,0.5999999999999999
acto,0.33333333333333326
actor,0.5999999999999999
actriz,0.5555333333333332
actuación,0.5999999999999999
actual,0.33333333333333326
actualidad,0.21666666666666667
actualizacion,1
actuar,0.8666666666666665
acudir,0.5999999999999999
acuerdo,0.5999999999999999
acumulacion,-0.09999999999999998
acumulacion_capital,-1
acumular,0.33333333333333326
acusar,-0.06666666666666676
adaptacion,1
adaptación,0.5999999999999999
adaptar,0.5999999999999999
adecuar,0.8666666666666665
adelante,0.5999999999999999
adelanto,0.8
adentro,0.5999999999999999
adicional,0.4666666666666668
administracion,1
administración,0.33333333333333326
administrativo,0.19999999999999996
admirar,0.8666666666666665
admitir,0.8666666666666665
adoptar,0.8666666666666665
adorar,0.5999999999999999
adornar,0.8666666666666665
adquirir,0.7333333333333334
adulto,0.4666666666666668
advertir,0.33333333333333326
aéreo,0.5999999999999999
aerolínea,0.7333333333333334
aeronave,0.4666666666666668
aeropuerto,0.4666666666666668
afectar,0.06666666666666665
aferrar,0.5999999999999999
afirmar,0.7333333333333334
afuera,0.4666666666666668
agarrar,0.4666666666666668
agenda,0.19999999999999996
agente,0.19999999999999996
agilidad_el_distancia,0.8
agitar,0.4666666666666668
agonía,-0.20000000000000007
agotar,0.06666666666666665
agradable,1
agradecer,0.8666666666666665
agradecido,0
agregar,0.33333333333333326
agricultura,0.5999999999999999
agrupación,0.5999999999999999
agrupar,0.33333333333333326
agua,0.7333333333333334
aguantar,-0.20000000000000007
aguar,0.06666666666666665
aguardar,-0.06666666666666676
agudo,0.19999999999999996
agujero,-0.06666666666666676
ahi,0.19999999999999996
ahogar,-0.33333333333333337
ahorro,0.3999999999999999
ahorro_tiempo,0.3999999999999999
aire,0.7333333333333334
aislamiento,0.8
aislamiento_social,-0.19999999999999996
aislar,0.33333333333333326
ajeno,0.33333333333333326
ala,0.7333333333333334
alba,0.7333333333333334
albergar,0.7333333333333334
álbum,0.4666666666666668
alcance,0.33333333333333326
alcanzar,1
alcohol,0.4666666666666668
aldea,0.5999999999999999
aldea_global,-0.6
alegrar,0.7333333333333334
alegre,0.5
alegría,1
alejar,0.33333333333333326
alexa,-0.4
alfabetizacion,0.8
algebrar,0.6000000000000001
algo,0.4666666666666668
algo_grande,0.6000000000000001
algo_no_producido_directamente_el_hombre,-0.4
algo_superior,1
algoriter,-0.4
algoritmo,0.3263157894736841
algoritmo_red_social,-0.6
aliado,0.8666666666666665
aliado_cientifico,0
alianza,0.7333333333333334
aliento,0.33333333333333326
alimentar,0.8666666666666665
alimento,0.8666666666666665
allá,0.33333333333333326
alma,0.6666666666666667
almacenado,0.6000000000000001
almacenaje,0
almacenamiento,0.45999999999999996
almacenamiento_dato,0.4666666666666661
almacenamiento_global,0.6000000000000001
almohada,0.8666666666666665
alrededor,0.4666666666666668
altar,0.4666666666666668
alternativa,0.5666666666666667
altgorismo,-1
altitud,0.33333333333333326
alto,0.4666666666666668
alto_volumen,0
altura,0.4666666666666668
alumno,0.7333333333333334
alzar,0.7778
ama,0.19999999999999996
amable,1
amado,1
amanecer,1
amante,0.7333333333333334
amar,1
amargo,-0.33333333333333337
amarillo,0.5999999999999999
ambicion,0
ambiente,0.8095333333333334
ámbito,0.33333333333333326
amenaza,-0.20000000000000007
amenazar,-0.4
américa,0.5999999999999999
americano,0.4666666666666668
amigo,1
amistad,1
amo,0.4666666666666668
amor,1
amoroso,1
ampliar,0.6333333333333332
amplio,0.7333333333333333
amplitud,0.1499999999999999
amplitud_uso,1
analisis,0.6739130434782599
análisis,0.8666666666666665
analisis_dato,0.8333333333333339
analisis_el_informacion,0.3999999999999999
analisis_estadistico,1
analisis_fuente,0
analisis_global,-0.6
analisis_grande_maso_dato,1
analisis_mercado/consumidor,1
analitica,0.6000000000000001
analitico,0
analizar,0.33333333333333326
analogico,0.6000000000000001
ancho,0.33333333333333326
anciano,0.6666666666666667
and,0.33333333333333326
andar,0.8666666666666665
android,0.19999999999999996
androide,0
angel,1
ángel,0.5999999999999999
ángulo,0.19999999999999996
angustia,-0.20000000000000007
anhelar,0.4666666666666668
anhelo,1
anillo,0.4666666666666668
animado,0.6000000000000001
animal,0.8666666666666665
animar,0.8095333333333334
ánimo,0.5999999999999999
ano,0.6000000000000001
anoche,0.7333333333333334
anotar,0.33333333333333326
ansia,0.33333333333333326
ansiedad,-0.33333333333333337
ansioso,0.33333333333333326
anterior,0.4666666666666668
anticomunismo,-1
antigüedad,0.33333333333333326
antiguo,0.7333333333333334
anual,0.19999999999999996
anunciar,0.7333333333333334
añadir,0.33333333333333326
año,0.33333333333333326
añorar,0.06666666666666665
apagar,0.23806666666666665
aparato,0.2333333333333334
aparecer,0.33333333333333326
aparentemente,0.4666666666666668
aparición,0.33333333333333326
apariencia,0.5999999999999999
apartar,0.33333333333333326
apellido,0.33333333333333326
apenas,0.33333333333333326
apertura,0.6583333333333334
aplicacion,0.06666666666666599
aplicación,0.4444666666666668
aplicacion_energia_nuclear,0.6000000000000001
aplicacion_informatico,0.6000000000000001
aplicacion_inteligente_predictora,1
aplicar,0.4666666666666668
apocalipsis,-1
apoderar,0.19999999999999996
aportar,0.5999999999999999
apoyar,0.5999999999999999
apoyo,1
applir,0.8
apps,0
apreciar,0.8666666666666665
aprehender,1
aprender,0.85
aprendizaje,0.7
aprendizaje_automatico,0.8999999999999999
aprendizaje_el_comportamiento,0
aprendizaje_el_maquina,0.6000000000000001
aprendizaje_significativo,0
apretar,0.19999999999999996
aprobar,1
aprovechar,0.5999999999999999
aproximadamente,0.33333333333333326
aproximar,0.4666666666666668
apuntar,0.33333333333333326
apurar,-0.06666666666666676
aqui,0.5999999999999999
aragón,0.33333333333333326
árbol,0.7333333333333334
archivo,0.5500000000000004
archivo_pesado,0.19999999999999996
arco,0.5999999999999999
arder,0.06666666666666665
ardiente,0.4666666666666668
área,0.4666666666666668
arena,0.8666666666666665
argumentar,0.5999999999999999
argumento,0.33333333333333326
arma,-0.6666666666666667
arma_perfil_riguroso,0
armado,-1
armar,0.7142666666666668
armonía,1
aroma,0.8666666666666665
arqueológico,0.33333333333333326
arquitecto,0.4666666666666668
arquitectónico,0.7333333333333334
arquitectura,0.5999999999999999
arrancar,0.33333333333333326
arrastrar,-0.20000000000000007
arreglar,0.8666666666666665
arrojar,0.4666666666666668
arroyo,1
arte,0.5
artefacto_inteligente,0.8
artículo,0.33333333333333326
artificial,-0.4833333333333334
artista,0.7333333333333332
artístico,0.7333333333333334
asamblea,0.4666666666666668
asbtraccion,0.3999999999999999
ascender,0.8666666666666665
ascenso,0.3666666666666667
asegurar,0.6363333333333332
asentamiento,0.06666666666666665
asesinar,0.06666666666666665
asesinato,-0.33333333333333337
asesino,-0.20000000000000007
asfalto,1
asi,0.4666666666666668
asiento,0.33333333333333326
asignar,0.33333333333333326
asimetria,-0.19999999999999996
asistencia,0.8666666666666667
asistente,0
asistente_google,0.6000000000000001
asistir,0.5999999999999999
asociacion,0.6000000000000001
asociación,0.19999999999999996
asociar,0.4666666666666668
asomar,0.5999999999999999
aspecto,0.7333333333333334
aspiracional,-0.4
asumir,0.4666666666666668
asunto,0.5999999999999999
asustar,-0.20000000000000007
atacar,-0.06666666666666676
atajo,0.6000000000000001
ataque,-0.33333333333333337
atar,0.19999999999999996
atardecer,1
atención,0.5999999999999999
atender,0.5999999999999999
atlántico,0.8666666666666665
atlético,1
atmósfera,0.5999999999999999
atracción,1
atraer,0.8666666666666665
atrapar,0.06666666666666665
atrás,0.19999999999999996
atraso,-1
atravesar,0.4666666666666668
atrever,0.5999999999999999
atribuir,0.19999999999999996
audiencia,0.5999999999999999
aumentar,0.5999999999999999
aumento,0.4666666666666668
aumento_el_control,-0.4
aumento_el_exclusion_social,-0.6
aun,0.33333333333333326
ausencia,-0.20000000000000007
ausencia_intimidad,-1
auto,0.33333333333333326
auto_independiente,0.3999999999999999
autoaprendizaje,0
autobús,0.06666666666666665
autodeterminacion,0.19999999999999996
automata,0.6000000000000001
automatico,0.8
automatismo,0.8
automatizacion,0.3900000000000001
automatizacion_el_industria,-0.6
automatizacion_tarea,0.6000000000000001
automatizado,-0.8
automóvil,0.8666666666666665
autonomia,1
