id,oracion
1,"por : walter sosa escudero , profesor de la universidad de san andrés - conicetel reciente escándalo de privacidad que involucra a facebook pone a los algoritmos y a la idea de bigdata en el centro del debate ."
2,y efectivamente ' bigdata ' es jerga .
3,"mirá también bigdata , cada vez más un insumo clave para las semillas de precisión entonces , lo más obvio es decir que bigdata es datos masivos ."
4,"a diferencia de una encuesta sistemática ( como una encuesta política o esas que todavía funcionan por teléfonos de línea ) , los datos de bigdata son anárquicos y espontáneos ."
5,"entonces , los datos de bigdata no son más de los mismos viejos datos ( de encuestas , registros administrativos , etc . ) , sino un animal completamente distinto ."
6,"en 2001 , doug laney ( analista de la consultora gartner ) escribió un influyente artículo , en donde resumió esta discusión diciendo que la revolución de bigdata tenía que ver con las ahora archifamosas ' tres v de bigdata ' : volumen , velocidad y variedad ."
7,el truco comunicacional de las tres v es efectivo en decir que bigdata es bastante más que muchos datos .
8,"termino que refiere a que la naturaleza ruidosa y espontánea de los datos de bigdata contrasta con la de los datos burocráticos , contables o de encuestas tradicionales , usualmente sujetos a puntillosos ejercicios de validación ."
9,"en un jocoso artículo reciente , tom shafer habla de ' las 42 v de bigdata ' : las tres iniciáticas propuestas por laney , las dos o tres que juiciosamente se agregaron posteriormente ( como ' veracidad ' ) y la insólita lista que se añadió recientemente , incluyendo ' vudú ' , ' vainilla ' o ' varifocal ' ( no , no le miento ) ."
10,"chanzas aparte , una definición de bigdata que tenga que referir a 42 ideas es inoperante y oximorónica , como cuando un conocido peinador estilista se ufanaba de sus desfiles ' con más de 200 top models ' , como si ' top ' no se contradijese con ' 200 ' ."
11,"no , no hay ninguna definición precisa de qué es bigdata ."
12,"en la misma línea , no hace falta una definición de bigdata , es algo que todos reconocemos aun cuando jamás lo hayamos visto , porque nos afecta a diario en todas las dimensiones de la vida cotidiana ."
13,y no es extraño que ahora también la frase de lewis carroll sirva para explicar de alguna manera qué es el bigdata .
14,y con las nuevas tecnologías ahora clarín pone el bigdata al servicio de los clientes .
15,"conocemos en profundidad a nuestros lectores y es por esto que tenemos la capacidad de conectar a las marcas con las personas correctas ' , dijo ignacio giménez zapiola , gerente comercial , al presentar el uso inteligente del bigdata y otras herramientas digitales ."
16,"somos líderes en lo que hacemos , tenemos tecnología y los datos ' , sostuvo pablo giudici , jefe de bigdata y analytics ."
17,"mirá también cómo descubrir hábitos de consumo en la rural , con iván de pineda como conductor , se anunciaron los ejes que guiarán las decisiones de la gerencia comercial , que además de bigdata incluye digital y brand studio ."
18,"( pedro lázaro fernández ) el jefe de bigdata de clarín aseguró que gracias a la política de brand safety del medio , todos los datos de los usuarios están encriptados y resguardados ."
19,"el programador argentino es uno de los referentes en bigdata y sostiene que la tendencia de abrir datos ( open data ) porque sí ya pasó , cada operación de búsqueda e interpretación debe servir para algo ."
20,¿ sirve por ejemplo el bigdata para salvar vidas ?
21,"desde paraguay , juan pane , coincide en que abrir datos porque sí no conduce a nada , pero que el bigdata puede ayudar a salvar vidas ."
22,"de esta manera , el uso del bigdata muchas veces señalado como una amenaza a la vida privada tiene un aspecto social que va más allá de la recomendación de qué comprar a partir de lo que se buscó previamente en un buscador ."
23,"por cierto , la presencia de una firma de bigdata , con sofisticados robots de búsqueda y análisis desarrollados por ellos mismos no es poco para una provincia como jujuy que solo recauda el 8% de su presupuesto y depende de los giros del gobierno central ."
24,"' sólo el procesamiento del ‘bigdata’ permitirá atenuar la complejidad de la producción , generada por la enorme variabilidad de factores que interactúan con la tecnología ' , insistió el especialista ."
25,"es allí donde el bigdata viene a proponer una serie de recursos , que han alcanzado una creciente importancia en el sector comercial pero también en el ámbito de la gestión pública ."
26,tampoco se propone adherir acríticamente a los beneficios del bigdata sin prestar atención a las consecuencias que podría implicar su uso indebido .
27,se trata en todo caso de romper el molde que define al bigdata como sinónimo de ilegalidad .
28,"eso tiene que ver con el bigdata , el proceso de recolección y análisis de millones de datos que permite alumbrar información no observada a la primera impresión y también establecer nuevas correlaciones ."
29,"moneyball era el libro de michael lewis , y tanto esta obra —como la película— describen una historia real : a partir de bigdata y el análisis estadístico se puede modificar la estructura de un equipo ."
30,"el juguete analítico de moda es la idea de bigdata ( muchos datos ) , frase que se relaciona , y a veces engloba , conceptos como minería de datos , machine learning , o predicciones analíticas . bigdata se refiere tanto a la explosión de datos generados por la masividad de internet ( a través de los portales de compras , del uso de celulares , de las redes_sociales ) que proveen información instantánea acerca del comportamiento de miles de millones de usuarios , como también a las técnicas estadísticas y computacionales que permiten procesar ."
31,el concepto de bigdata no es ajeno a estos antagonismos y la pregunta clave es si más es necesariamente mejor .
32,"la disponibilidad inmediata de las preferencias y las acciones de sus clientes han permitido a varias empresas tomar mejores decisiones . bigdata mediante , casi automáticamente un supermercado o un portal de ventas puede aprender si ofrecer un artículo en vez de otro , o acerca de los patrones de gusto de sus clientes ."
33,pero bigdata ( y sus tecnologías asociadas ) tienen problemas serios cuando más es más de lo mismo en un contexto de cambios .
34,"' , el tipo dice ' porque hay mejor luz ' . bigdata tiene una tendencia inevitable a buscar donde es más fácil y no donde uno debería ."
35,quien se deja engañar por bigdata puede creer que comprar bufandas o camperas causa frío .
36,lo relevante es lo que opinan tanto los que lo hicieron como aquellos que por alguna razón no lo hicieron . bigdata tiende a focalizar en el primer grupo ( el que hizo el curso ) pero ignora olímpicamente al segundo .
37,"cuando bigdata es una tecnología para reconocer patrones y buscar asociaciones en el caos de internet , es una herramienta poderosísima ."
38,"pero cuando se trata de medir causas , o de lidiar con lo nuevo , bigdata es ' otra vez arroz ' ."
39,cuidado con bigdata .
40,"las técnicas del ' bigdata ' , como se llama a esos mecanismos en la jerga estadística , combinan información de encuestas de intención de voto , indicadores sociales y resultados electorales ."
41,"y ahora , la oleada de propuestas de tecnología de información , bigdata , internet_cosas , inteligencia_artificial , que desfilarán desde este martes en el tecnódromo de expoagro ."
42,"mariana pernasespecial para clarín​el volumen exponencial de datos que se genera continuamente a gran velocidad desde diversas fuentes , formatos , dispositivos y sensores , y que llamamos bigdata , está habilitando nuevos negocios y proyectos que apuestan a dar sentido a esa información ."
43,' la explosión de datos catalizada por la digitalización del mundo ha puesto al bigdata como una herramienta ineludible para todos los segmentos de la sociedad .
44,"mejora de eficiencia y competitividad en el ámbito de los negocios , predicción temprana de enfermedades , y eficiencia y transparencia en la gestión del gobierno , pero también en muchos lamentables casos potenciación de la capacidad de espionaje y control sobre los ciudadanos , son algunos ejemplos del poder del bigdata ' , considera mat travizano , ceo de gran data , un emprendimiento de tecnología pionero en este segmento que tiene su casa matriz en california , estados unidos , y su centro de i+d en buenos aires ."
45,"su aplicación tiene múltiples retos . ' bigdata está en la cúspide las expectativas , hay muchas promesas y tiene un potencial enorme , pero en la práctica hay pocos casos exitosos y muchos fracasos ' , expresa eduardo poggi , docente de la maestría en explotación de datos y descubrimiento de conocimiento de la fcen - uba ."
46,"datos y sectores​ la salud es uno de los terrenos más complejos y desafiantes para desplegar estrategias de bigdata debido a las exigencias de privacidad , confidencialidad y seguridad en el tratamiento de la sensible información sobre pacientes ."
47,"' las organizaciones de salud actualmente hacen poco verdadero bigdata ; es decir , procesamiento continuo de información no estructurada de bases de datos distribuidas ."
48,"el mes pasado , fue adquirida por la empresa visualización de datos graphpath , que le permitirá ingresar a nuevos segmentos de negocios . ' bigdata es un problema para muchas industrias ."
49,"' con esta tecnología aprendimos a confiar en los pronósticos ' , disparó marcelo dip , director de la empresa seedmech , refiriéndose a las posibilidades que surgen con el bigdata y la ayuda digital para potenciar la precisión y efectividad en la agricultura moderna ."
50,el bigdata ha pasado de los confines de los círculos tecnológicos al ámbito masivo .
51,"en primer lugar , algunos datos : el bigdata fue tema este año del foro económico mundial de davos , suiza , con un informe titulado ' bigdata , big impact ' ."
52,"en marzo , el gobierno de los estados unidos anunció programas de investigación de 200 millones de dólares en computación de bigdata ."
53,el new york times ha adoptado el término en títulos como ' la era del big data ' y ' el bigdata en la universidad ' .
54,"lo sabe todo ' , dice un cuadro , y el siguiente concluye que ' su nombre es bigdata ' ."
55,la historia del bigdata es la constitución de un concepto .
56,"el segundo es que detrás del término hay una serie de tecnologías en evolución que son muy prometedoras , así como algunas dificultades . bigdata es un rótulo que significa aplicar las herramientas de la inteligencia_artificial , como el aprendizaje de las máquinas , a gran cantidad de nuevos datos ."
57,"en teoría , el bigdata podría mejorar la toma de decisiones en campos que van de los negocios a la medicina y permitir que las decisiones se basen cada vez más en información y análisis en lugar de en la intuición y la experiencia ."
58,"' el término en sí es vago , pero está llegando a algo que es real ' , dice jon kleinberg , un especialista en informática de la universidad cornell en ithaca , nueva york . ' bigdata es un rótulo para un proceso que tiene la posibilidad de transformar todo ' ."
59,"según varios especialistas en informática y ejecutivos del sector , 2008 fue el año en que el término ' bigdata ' empezó a cobrar popularidad en los círculos tecnológicos ."
60,algunos señalaron que bigdata era un término de mercadeo .
61,"' el bigdata pasa por los nuevos usos y perspectivas , no tanto por la información en sí ' , dice ."
62,"pero el bigdata también tiene una connotación más oscura en su condición de primo lingüístico de big brother , big oil y big government ."
63,los entusiastas del bigdata dicen que las ventajas superan con creces a los riesgos .
64,foto : lucía merle . - ¿ el indec debería hacer bigdata ?
65,el indec puede y debe hacer bigdata .
66,por el momento solo hay ideas . - ¿ se puede reemplazar al indec con bigdata ?
67,el servicio que brinda una oficina estadísticas es técnico y algorítmico pero también comunicacional - político y eso bigdata no lo resuelve . - ¿ por qué sería importante bigdata para el indec ?
68,"pero volviendo al comienzo , hay más un problema de falta de estadísticas más que de su calidad . - ¿ cómo ayudaría bigdata en eso ?"
69,pero con datos imagen satelital se puede hacer . - ¿ por qué bigdata prendió fuego rápido en el sector privado y cuesta más en el público ?
70,supongamos que el estados mide la pobreza con bigdata y le da 25% .
71,"por ejemplo el instituto holandés de estadísticas , que uno imaginaría están muy lejos nuestro en esto , son cautos con el bigdata ."
72,"según estudios realizados por los referentes de las tecnologías de la información y la comunicación ( tic ) , el fenómeno del bigdata se encuentra en pleno crecimiento y ninguna proyección indica que esta tendencia desaparezca ."
