doc_id,oracion,estado
3578,"vale aclarar que bigdata es el nombre que se utiliza para describir a los grandes volúmenes de información , su almacenamiento , clasificación , análisis y compartición , que surgen de su recopilación a través de múltiples sensores y dispositivos .",positivo
2300,"la internet de las cosas es una tendencia que se complementa con bigdata y puede ayudar a generar información que permita a las empresas tomar mejores decisiones : ' vamos a poder pensar en proyectos de gran escala ' , subrayó .",positivo
405,"a partir de la bigdata que disponen las grandes empresas de tecnología sobre nosotros , se crean unas categorías personalizadas sobre lo que hacemos en sus entornos virtuales .",positivo
2540,los beneficios del bigdata en el fútbol son muy reales y se puede realmente conseguir ventaja competitiva con él .,positivo
2016,hay que entender que bigdata es una herramienta de mercadeo muy bien usada .,positivo
2713,"mirá también bigdata , cada vez más un insumo clave para las semillas de precisión entonces , lo más obvio es decir que bigdata es datos masivos .",positivo
1503,"en ese contexto de bigdata para todos , señaló , ' quien tenga las preguntas adecuadas , tendrá las respuestas correctas ' .",positivo
534,"al respecto , ariel torres , editor de tecnología del diario la nación , afirmó que el bigdata es uno de los cambios más abrumadores de los últimos años .",positivo
1101,el bigdata es la base de operaciones para decidir qué serie continuará en producción y cómo .,positivo
3043,por qué el bigdata es importante lo que hace que bigdata sea tan útil para muchas empresas es el hecho de que proporciona respuestas a muchas preguntas que las empresas ni siquiera sabían que tenían .,positivo
1458,"en dicho universo impregnado de incertidumbre y ambigüedad , las herramientas de bigdata y big analytics ( herramientas de procesamiento y análisis de datos masivos ) permiten llegar a conclusiones precisas y concretas .",positivo
1010,e información en la actualidad es sinónimo de ‘bigdata‘ .,positivo
41,' desde la ética podemos crear espacios de reflexión mediante el estudio de casos para incorporar valores en el proceso de utilización y gestión del bigdata y la construcción de algoritmos .,positivo
2421,las empresas con más éxito con bigdata consiguen valor de las siguientes formas : reducción de coste .,positivo
3335,"su ilusión , agrega , es que sus investigaciones puedan entrar en la era bigdata .",positivo
2809,"otras tecnologías que están pisando fuerte son bigdata , realidad aumentada , internet de las cosas e inteligencia artificial .",positivo
3434,"telefónica dispone de un sistema denominado bigdata que permite , mediante el desplazamiento de los usuarios de celulares dentro del ejido urbano , determinar puntos conflictivos , horarios de mayor movimiento y espacios de mayor circulación .",positivo
1094,"el bigdata en el campo médico , que integra la información genética , de salud y de estilo de vida de los individuos , es a la vez muy sensible y de un valor excepcional para las industrias farmacéutica y sanitaria .",positivo
3431,"tecnologías como la inteligencia_artificial y la realidad virtual , junto a bigdata , ofrecen condiciones óptimas para una cuarta revolución industrial .",positivo
3521,"un reciente estudio de idc ( international data corporation ) sobre usos y mercados para la tecnología y servicios de bigdata demuestra que cada caso requiere combinaciones diferentes de software , hardware y servicios para dar los mejores resultados .",positivo
218,"' se utiliza la tendencia del ' bigdata ' - recopilación y utilización de datos para mejorar el rendimiento empresarial - , de forma que podemos conocer en qué falla y en qué es bueno cada usuario que utiliza el simulador ' , agregó .",positivo
