doc_id,oracion,estado
1502,"en ese contexto , el director de humanize consulting invitó a capitalizar el bigdata para transformar los datos en información y la información en inteligencia al servicio de los miembros de la compañía .",positivo
3350,"sus datos son enviados a la nube de microsoft azure , que los procesa con bigdata y machine learning para controlar así cultivos , campos , industrias petroleras y aprovechar mejor los recursos naturales .",positivo
19,"' bigdata ' : la información infinita || desde el punto de vista tecnológico seguirán apareciendo herramientas que permitirán que el término ' big ' de bigdata sea cada vez mayor , y con menor costo .",positivo
523,"al mirar atrás , con frecuencia se pueden detectar distintas transformaciones facilitadas por el bigdata que sin dudas nos seguirán sorprendiendo de cara al futuro .",positivo
203,"' permite cruzar múltiples fuentes de datos para una mejor comprensión y tener visibilidad del escenario completo ' , sostiene varela , que trabajó con soluciones de bigdata en campañas digitales de empresas como general motors .",positivo
2472,"las tres afirmaciones primero , bigdata es cualitativamente diferente del muestreo de datos y genera conocimientos que son solo posibles cuando el tamaño de la muestra es cercano a la totalidad de la población observada .",positivo
335,"¿ se debe limitar el bigdata ? – pues sí , el bigdata es una tecnología que se puede usar para el bien o para el mal .",positivo
3558,uno de los objetivos es nacionalizar el discurso y apoyar en bigdata mapa para la captación precisa de votos .,positivo
1582,"en líneas generales , bigdata tiene un gran espectro de posibles aplicaciones .",positivo
2423,"las empresas que desarrollan estrategias de bigdata pueden realizar , año a año , comparaciones consistentes incluso sobre productos que cambian de una categoría a otra .",positivo
3399,también se incluye en la definición de bigdata a los procedimientos que se utilizan para encontrar patrones repetitivos en los datos de las millones de personas que utilizan cotidianamente estas tecnologías .,positivo
1394,"el uso de grandes volúmenes de datos ( ' bigdata ' ) en la asistencia sanitaria tiene como objetivo proporcionar a cada paciente una atención personalizada , que combine los mejores conocimientos científicos con la experiencia personal de los profesionales de la salud .",positivo
3269,"siempre según el estudio , las empresas que utilizan bigdata logran destacar en sus respectivos mercados y generar ventajas competitivas .",positivo
2371,"la solución , ofrecida por telefónica , combina tecnologías móviles , geolocalización , sensores , bigdata y geo - procesos , los que permiten conocer cuántas personas visitan un área en un tiempo determinado .",positivo
962,"desde aplicaciones móviles y videojuegos , hasta inteligencia_artificial , bigdata , interfaces hombre - máquina y procesamiento de señales biológicas , las nuevas tecnologías se están usando para desarrollar dispositivos médicos .",positivo
1366,"el sistema , denominado smart steps ( que traducido significa ' pasos inteligentes ' ) , es operado por el grupo telefónica y utiliza la tecnología bigdata que permite analizar y cruzar grandes volúmenes de datos digitales .",positivo
3006,"por el contrario , la gran ventaja que aporta bigdata es que el análisis se hace de otra forma , gracias a la inmensa cantidad de observaciones .",positivo
3526,una cosa que es importante tener en cuenta desde el punto de vista empresarial es cómo pueden las empresas que ofrecen análisis de bigdata dar un servicio que signifique una ventaja competitiva para sus clientes .,positivo
250,"' y bigdata , con su capacidad de explotar universos de datos de todo tipo , es claramente una potencial fuente de evidencias útiles a los negocios .",positivo
87,' en las actividades deportivas este mecanismo se utiliza desde antes de que se llamara bigdata .,positivo
2500,lo interesante es lo que tenés para ganar compense lo malo . bigdata es útil en todas las disciplinas siempre y cuando exista esta conciencia .,positivo
2998,"por bigdata , entendemos el almacenamiento de gran volumen de datos y , sobre todo , los procedimientos usados a la hora de convertir los datos en información que facilite la toma de decisiones .",positivo
311,"¿ cómo es que las soluciones de ' bigdata ' , que son aquellas tecnologías capaces de recopilar y analizar grandes volúmenes de información con eficacia , pueden mejorar la toma de decisiones en las corporaciones ?",positivo
2397,"laboratorio de datosen la investigación para describir los factores económicos que pueden tener relevancia en las decisiones y debates políticos en el 2017 , destefanis y erbin utilizaron bigdatamachine la plataforma de gestión de datos de internet .",positivo
1645,"en tiempos de wikileaks , rusiagate y cambridge analytica , no podemos seguir alegremente ponderando las bondades del bigdata en la sociedad y en la educación .",negativo
108,' estamos trabajando en la puesta en marcha de un nuevo medio de pago que estamos testeando y tenemos también un proyecto de bigdata para mejorar la experiencia de usuario .,positivo
455,"además , el tema de las corporaciones como facebook , levantan información sobre cuestiones afectivas y psicológicas , a través de algoritmos y bigdata .",negativo
3509,"un estudio de mckinsey global institute , al que it business tuvo acceso en exclusiva , destaca las cinco formas en que bigdata crea valor transformacional .",positivo
3453,"tienen bigdata sobre los hábitos de consumo de sus amplias clientelas , pero no están sujetos a obligaciones públicas , no divulgan cantidad de abonados o suscriptores , no muestran auditorías de terceros .",negativo
1871,"esto está de nuevo vinculado con bigdata , ya que cuantos más datos se obtengan en la red sobre los usuarios , la habilidad de monitorear el ambiente , la infraestructura y las aplicaciones , más sencillo será prever las amenazas .",positivo
3498,"un club del ascenso , atlas , funciona como laboratorio de las nuevas tecnologías aplicadas al deporte en nuestro país : por bigdata se conoce al procesamiento tecnológico de millones de datos en tiempo real .",positivo
2026,"herramientas como la inteligencia_artificial , la minería de datos y el bigdata serán fundamentales para apoyar a la toma de decisiones .",positivo
2343,"la posibilidad que abre el bigdata de incrementar la productividad en el uso del agua para cultivos , a partir de poder conocer el grado de humedad en cada lugar en cada momento es sin precedentes .",positivo
2312,la lista de aplicaciones rentables de bigdata es larguísima y en permanente aumento .,positivo
834,"con la analítica de bigdata , más empresas están creando nuevos productos para satisfacer las necesidades de los clientes .",positivo
1011,"e l polémico programa desarrollado en china , analiza los comportamientos de los ciudadanos por medio de bigdata .",negativo
1563,"en la medida en que el sector público digitalice sus viejos archivos , incorpore la firma digital y aproveche el bigdata , impulsará el desarrollo nacional en las próximas décadas .",positivo
2425,las empresas también pueden aprovechar las soluciones de bigdata para conocer las preferencias de los consumidores y ofrecerles productos a medida .,positivo
991,"duran barba se la pasa haciendo encuestas transformando el humor de la sociedad también en datos , y con las redes_sociales y la bigdata hasta puede aspirar a construir un psicograma social y , con él , una psicopolítica .",negativo
2903,"para luque , el bigdata ' es una revolución ' , y si bien aclaró que desde la ciencia y la técnica los datos se utilizaron siempre , la diferencia actual reside en los avances en la capacidad de cómputo .",positivo
147,"' la falta de conocimiento es un factor muy limitante para la adopción de bigdata ' , destacó .",positivo
226,"' sólo mediante herramientas tales como la ia , el bigdata y machine learning es posible captar y procesar en tiempo real la gran cantidad de datos ' , aseguró .",positivo
1875,esto nos lleva a la segunda estrategia habitualmente usada por innovadores sociales que trabajan en el ámbito de la previsión social : la racionalización de costes de los seguros gracias a bigdata e inteligencia_artificial .,positivo
2189,"la compañía también es un proveedor líder en cómputo en la nube que ha impulsado el poder del bigdata y se ha expandido hacia los medios digitales , señala expansión .",positivo
1816,"esta iniciativa marca un cambio estratégico de parte de ibm para entregar una nueva clase de software , servicios y aplicaciones que piensan , mejoran por el aprendizaje y descubren conocimientos a partir de masivas cantidades de bigdata .",positivo
1214,el estudio y análisis de esta masa de datos recibe el nombre de ' bigdata ' .,positivo
2165,"la bigdata será esa nave nodriza a la que habrán de rendirle culto poderosos , comunicadores y saltimbanquis .",positivo
61,' el bigdata y la inteligencia_artificial sirven para recopilar un montón de información y luego para interpretar esos datos .,positivo
1647,"en todo esto , bigdata , internet_cosas y la computación en tiempo real han contribuido a empujar los límites del rendimiento deportivo , mejorar la experiencia de los fanáticos y gestionar en forma más eficiente las operaciones de los clubes ' .",positivo
2551,"los datos procesados por una solución bigdata pueden ser utilizados por las aplicaciones empresariales directamente o pueden ser introducidos en un ' lago de datos ' para enriquecer datos existentes ' , puntualizó bianchi .",positivo
687,"beane tuvo que recorrer un camino difícil , pero hoy , esos problemas ya no existen y bigdata ha conseguido colar en todo el ámbito deportivo , cambiando las formas y transformando la dinámica de equipos y ligas .",positivo
1201,el entorno de bigdata va a generarles a las empresas enormes oportunidades de diferenciación en los próximos cinco a 10 años .,positivo
2811,"otro concepto a tener en cuenta de assistant es el bigdata : esto es , la capacidad de almacenar millones de datos en tiempo real para determinar y anticipar ciertos comportamientos de los usuarios .",positivo
