estado,id,oracion
positivo,0,' ( el bigdata ) es una forma que guizhou usó para bajar la pobreza .
positivo,4,"' a la variedad , volumen y veracidad de información que proveemos en el inta , necesitamos sumarle la velocidad , de análisis y transferencia de microsoft para realizar un buen manejo de bigdata ' , afirmó di bella ."
positivo,5,"' a la variedad , volumen y veracidad de información que proveemos en inta , necesitamos sumarle la velocidad , análisis y transferencia de microsoft para realizar un buen manejo de bigdata ' , concluyó el director ."
positivo,6,"' a medida que florezca la industria nacional del internet de las cosas , el bigdata o la experiencia de cliente , habrá una mayor demanda de ese tipo de perfiles ' , opina ."
positivo,10,"' además , esta información también puede ser de utilidad en estudios de mercado , tendencias de búsqueda y otra clase de indicadores estadísticos que estas compañías pueden explotar a través de tecnologías como el bigdata ' ."
negativo,12,"' ahora todo lo que se hace se conoce , todo es ' bigdata ' y uno no quiere que esa información se conozca ; pero los jóvenes , la última generación , se está acostumbrando a eso ."
positivo,13,' al explotar la internet y el bigdata se generó una ultrasegmentación aún mayor .
positivo,14,"' al principio , lo logramos con ingeniería , pero ahora todo es con bigdata porque nuestros usuarios se sacan unas 6 . 000 millones de fotos por día y con esto sabemos lo que quieren ."
positivo,17,"' asociar con microsoft nos permitirá aunar esfuerzos y capacidades en cuestiones relacionadas con minería de datos climáticos e históricos para cálculos de riesgo , o bien la ingeniería de datos satelitales para el seguimiento y análisis de cultivos y los recursos naturales ' , anticipó di bella quien se entusiasma : ' mediante machine learning podremos avanzar en aspectos asociados a los pronósticos meteorológicos y con bigdata profundizaremos la modelización de ciertos sistemas de producción ' ."
positivo,18,"' aunque la región y argentina en particular están especialmente atrasadas en esta materia , la utilización de aplicaciones , bigdata y almacenamiento en la nube permite analizar mejorar el estado general de una organización y tomar mejores decisiones ' , dice el ejecutivo , en diálogo con apertura . com ."
positivo,19,"' bigdata ' : la información infinita || desde el punto de vista tecnológico seguirán apareciendo herramientas que permitirán que el término ' big ' de bigdata sea cada vez mayor , y con menor costo ."
negativo,22,"' cada vez en más tareas los algoritmos superan a los humanos ' , asegura nuria oliver , experta en inteligencia_artificial y de datos ( bigdata ) , en la interacción persona - máquina e informática móvil ."
positivo,23,' cambiamos el producto en base al bigdata para mejorar las ventas .
positivo,26,"' con esta tecnología aprendimos a confiar en los pronósticos ' , disparó marcelo dip , director de la empresa seedmech , refiriéndose a las posibilidades que surgen con el bigdata y la ayuda digital para potenciar la precisión y efectividad en la agricultura moderna ."
positivo,27,"' con herramientas de automatización de aprendizaje ( machine learning ) y opciones embebidas para visualizar ese gran volumen de datos en tiempo real ( bigdata ) , es posible elegir las kpis específicas para monitorear el negocio e inferir relaciones de esos datos ."
positivo,29,"' creo que muchos economistas están entusiasmados con el potencial que ven en el uso de bigdata ' , cuenta trucco a la nacion ."
negativo,30,"' cuando bigdata es más de lo mismo - sigue sosa escudero - , los viejos problemas de la estadística continúan asomando sus espantosas cabezas ."
positivo,32,"' cuando hablamos de bigdata , el principal uso que hacemos es construir productos que la gente quiere para generar comunidad ' , aseguró ."
positivo,33,"' cuando hablamos de la cuarta revolución industrial y pensamos específicamente en el campo nos referimos al cambio de procesos : la inteligencia artificial , bigdata , sensores , machine learning , dejan atrás las libretas de campo en papel y se extienden cada vez más facilitando procesos ' , explicó a infobae ezequiel glinsky , director de proyectos de transformación digital de microsoft argentina ."
